workbook,sheet,year,month,monthNo,plant,le0Ppds,lvPpds,actPpds,ttsaPrice,actPpdsCostAgainstTtsa,estPpdsAccuracy,actPpdsAccuracy,le0Starch,lvStarch,actStarch,le0Price,lvPrice,actPrice,estFarmerContribution,estImpurity,actImpurity
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Jan,1,Sikhiu,9.4868913858,8.4525547445,8.4491963972,13.95,5.5008036028,0.97,0.9771679312,0.267,0.274,0.2746548239,2.533,2.316,2.3206125488,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Feb,2,Sikhiu,9.530956848,8.4377302874,8.4479659204,14,5.5520340796,0.97,0.9162652842,0.2665,0.2714,0.2714209703,2.54,2.29,2.292955107,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Mar,3,Sikhiu,9.9606299213,8.0167173252,7.98,13.8875,5.9075,0.97,0.946443186,0.254,0.2632,0.2550631379,2.53,2.11,2.035025342,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Apr,4,Sikhiu,10.7905982906,8.5654008439,8.3545340224,13.3,4.9454659776,0.97,0.9658420835,0.234,0.237,0.2236345949,2.525,2.03,1.8683628319,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,May,5,Sikhiu,11.3317757009,9.0783410138,9.3090792826,13.1375,3.8284207174,0.97,0.9421500815,0.214,0.217,0.1944963827,2.425,1.97,1.8105822472,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Jun,6,Sikhiu,11.7073170732,9.2705882353,9.2311977899,13.3833333333,4.1521355434,0.97,0.9448513603,0.205,0.2125,0.2059808078,2.4,1.97,1.9014495777,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Jul,7,Sikhiu,11.1363636364,10.56,10.1911975802,13.57,3.3788024198,0.97,0.9544577602,0.22,0.225,0.2338406747,2.45,2.3831165178,2.3831165178,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Aug,8,Sikhiu,10.8620689655,10.2934601837,10.2784048099,13.5,3.2215951901,0.97,0.9894801853,0.232,0.2421116366,0.2423856229,2.52,2.4921664915,2.4913375526,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Sep,9,Sikhiu,10.7172995781,10.0917339271,9.9182503815,13.4,3.4817496185,0.97,0.9834506513,0.237,0.2447547684,0.2453791545,2.54,2.47,2.4337318929,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Oct,10,Sikhiu,10.3734439834,9.6815286624,9.9807477898,13.475,3.4942522102,0.97,0.9687457518,0.241,0.2512,0.2400149079,2.5,2.432,2.3955282612,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Nov,11,Sikhiu,10.6048387097,10.1433717286,10.4551163956,13.6,3.1448836044,0.97,0.9692661695,0.248,0.2486960748,0.2484213857,2.63,2.5226167339,2.597274503,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2025,Dec,12,Sikhiu,10.1550387597,9.9803921569,10.3066721257,13.925,3.6183278743,0.97,0.967307901,0.258,0.255,0.2580767535,2.62,2.545,2.6599124819,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Jan,1,Sikhiu,10.1456778437,10.4095644638,10.4095644638,14.1875,3.7779355362,0.97,0.9749094325,0.2649549839,0.2707336788,0.2707336788,2.68814791,2.8110986408,2.8182196819,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Feb,2,Sikhiu,9.9632352941,10.4541568711,10.9834295832,14.4,3.4165704168,0.97,0.9493720327,0.272,0.2725631068,0.2662576339,2.71,2.8494174757,2.9244219731,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Mar,3,Sikhiu,10.1145038168,11.29,12.0041543429,15.34,3.3358456571,0.97,0.9366045262,0.262,0.2684,0.246443868,2.65,3.03,2.958350228,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Apr,4,Sikhiu,10.3719008264,13.9993828113,15.4429936154,16.8,1.3570063846,0.97,0.8968803965,0.242,0.2196949153,0.2128172896,2.51,3.0755932203,3.2865360438,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,May,5,Sikhiu,10.8,18.4043659044,19.1597044081,18.975,-0.1847044081,0.97,0.9589587325,0.225,0.185,0.1795678922,2.43,3.4048076923,3.4404677366,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Jun,6,Sikhiu,10.8558558559,19.7211750306,0.01,0.01,0,0.97,0.01,0.222,0.1702083333,0.01,2.41,3.3567083333,0.01,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Jul,7,Sikhiu,10.5449699528,17.9440789474,0.01,0.01,0,0.97,0.01,0.2351832211,0.19,0.01,2.48,3.409375,0.01,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Aug,8,Sikhiu,10.6091994019,15.9843474427,0.01,0.01,0,0.97,0.01,0.2497832211,0.21,0.01,2.65,3.356712963,0.01,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Sep,9,Sikhiu,10.3325708826,15.1104066463,0.01,0.01,0,0.97,0.01,0.2525992833,0.2209661836,0.01,2.61,3.3388888889,0.01,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Oct,10,Sikhiu,10.1372451308,14.6892655367,0.01,0.01,0,0.97,0.01,0.2535205538,0.2301,0.01,2.57,3.38,0.01,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Nov,11,Sikhiu,9.8100026042,14.6388888889,0.01,0.01,0,0.97,0.01,0.2599387689,0.24,0.01,2.55,3.5133333333,0.01,,,
SK Root Sourcing report App.xlsx,RawKPI.SK,2026,Dec,12,Sikhiu,9.6296296296,14.1101449275,0.01,0.01,0,0.97,0.01,0.27,0.25,0.01,2.6,3.5275362319,0.01,,,
